experiment_id,noise_regime,track,seed,dataset,model,epochs,batch_size,lr,frobenius_error,condition_number,spectral_norm_inv,training_duration_sec,git_commit_sha,test_top1_acc,test_top5_acc,raw_test_ece,raw_ada_ece,raw_brier,temp_clean,ts_clean_test_ece,ts_clean_test_brier,temp_corrupted,ts_corrupted_test_ece,ts_corrupted_test_brier,val_calibration_delta,peak_val_acc,peak_epoch,final_val_acc,memorization_drop
PILOT-CIFAR10-PreActResNet18-ASYMMETRIC_0.4-FORWARDCORRECTION_CONFIDENTLEARNINGT-S2024,asymmetric_0.4,ForwardCorrection_ConfidentLearningT,2024,cifar10,PreActResNet18,30,128,0.05,0.833414460218525,37.109948915492254,35.250137332401124,1048.3073358535767,35e25d87b7e3feedbf6c121e1087789da5448ca3,85.03,99.54,0.07455601886510851,0.07361600167751312,0.22642486358888145,1.5852303504943848,0.030279240609705473,0.21009566130875365,1.7591372728347778,0.01904008975476028,0.2083356365059897,-0.01123915085494519,85.36,28,84.72,0.6400000000000006
PILOT-CIFAR10-PreActResNet18-ASYMMETRIC_0.4-FORWARDCORRECTION_CONFIDENTLEARNINGT-S42,asymmetric_0.4,ForwardCorrection_ConfidentLearningT,42,cifar10,PreActResNet18,30,128,0.05,0.8471862092893507,30.682288558671463,29.56164453302869,1050.8661141395569,35e25d87b7e3feedbf6c121e1087789da5448ca3,81.04,97.89,0.14352811022996903,0.14352810336351393,0.334333960086999,1.7767568826675415,0.08801509490013122,0.3146556761879207,1.8190796375274658,0.0842829129889607,0.313911869398447,-0.003732181911170515,81.92,26,81.60000000000001,0.3199999999999932
PILOT-CIFAR10-PreActResNet18-ASYMMETRIC_0.4-FORWARDCORRECTION_TRUET-S1337,asymmetric_0.4,ForwardCorrection_TrueT,1337,cifar10,PreActResNet18,30,128,0.05,0.0,5.537319187990758,5.000000000000003,1051.4599924087524,35e25d87b7e3feedbf6c121e1087789da5448ca3,87.83,99.59,0.0521388800829649,0.05198147914409637,0.18239655756652795,1.4948352575302124,0.010743662264943096,0.1734028850299337,1.7444140911102295,0.016410700240731234,0.17334884874418394,0.0056670379757881376,89.12,25,88.76,0.35999999999999943
PILOT-CIFAR10-PreActResNet18-ASYMMETRIC_0.4-FORWARDCORRECTION_TRUET-S2024,asymmetric_0.4,ForwardCorrection_TrueT,2024,cifar10,PreActResNet18,30,128,0.05,0.0,5.537319187990758,5.000000000000003,1051.4701194763184,35e25d87b7e3feedbf6c121e1087789da5448ca3,88.04,99.61,0.05115549261718987,0.05106063326001167,0.17979298408029645,1.5044853687286377,0.012331554926931873,0.17163362086797523,1.7510889768600464,0.01724626297056674,0.17173722135327607,0.004914708043634867,89.2,29,88.84,0.35999999999999943
PILOT-CIFAR10-PreActResNet18-ASYMMETRIC_0.4-FORWARDCORRECTION_TRUET-S42,asymmetric_0.4,ForwardCorrection_TrueT,42,cifar10,PreActResNet18,30,128,0.05,0.0,5.537319187990758,5.000000000000003,1048.6273102760315,35e25d87b7e3feedbf6c121e1087789da5448ca3,87.54,99.68,0.05062844201922413,0.049937406873703016,0.18735264633460438,1.4959259033203125,0.01177801466286184,0.1790722929144528,1.737493634223938,0.015659646511077867,0.17911590013644454,0.003881631848216027,88.02,24,87.94,0.0799999999999983
PILOT-CIFAR10-PreActResNet18-ASYMMETRIC_0.4-GCE-S1337,asymmetric_0.4,GCE,1337,cifar10,PreActResNet18,30,128,0.05,0.0,5.537319187990758,5.000000000000003,1051.969814300537,35e25d87b7e3feedbf6c121e1087789da5448ca3,78.43,99.17,0.11711761470586064,0.11705862482786178,0.33758625553087757,1.6356748342514038,0.05172440762668849,0.3123712776851232,1.6960256099700928,0.045041401986777765,0.31103597681591083,-0.006683005639910727,81.54,25,80.22,1.3200000000000074
PILOT-CIFAR10-PreActResNet18-ASYMMETRIC_0.4-GCE-S2024,asymmetric_0.4,GCE,2024,cifar10,PreActResNet18,30,128,0.05,0.0,5.537319187990758,5.000000000000003,1050.8355691432953,35e25d87b7e3feedbf6c121e1087789da5448ca3,79.29,99.06,0.10453017005324362,0.10453030821383001,0.317165769784472,1.6342099905014038,0.03851502468883991,0.2964209248136622,1.6941429376602173,0.033493131521344206,0.2955382566797609,-0.005021893167495704,81.34,28,80.3,1.0400000000000063
PILOT-CIFAR10-PreActResNet18-ASYMMETRIC_0.4-GCE-S42,asymmetric_0.4,GCE,42,cifar10,PreActResNet18,30,128,0.05,0.0,5.537319187990758,5.000000000000003,1052.5715610980988,35e25d87b7e3feedbf6c121e1087789da5448ca3,78.48,99.09,0.12024559937417503,0.12024561856389046,0.33699421335211444,1.65201735496521,0.05335698677152395,0.3105620226005842,1.6925538778305054,0.048871443206071855,0.3096241798314649,-0.004485543565452096,79.72,26,78.78,0.9399999999999977
PILOT-CIFAR10-PreActResNet18-ASYMMETRIC_0.4-SCE-S1337,asymmetric_0.4,SCE,1337,cifar10,PreActResNet18,30,128,0.05,0.0,5.537319187990758,5.000000000000003,1044.9072172641754,35e25d87b7e3feedbf6c121e1087789da5448ca3,59.550000000000004,96.24000000000001,0.3273503438979387,0.32735035259723666,0.7074731759252179,1.8171066045761108,0.24933563709706064,0.6231150383039276,1.8143506050109863,0.2496313433229923,0.6233787434991371,0.00029570622593166895,60.32,29,59.76,0.5600000000000023
PILOT-CIFAR10-PreActResNet18-ASYMMETRIC_0.4-SCE-S2024,asymmetric_0.4,SCE,2024,cifar10,PreActResNet18,30,128,0.05,0.0,5.537319187990758,5.000000000000003,1046.071682214737,35e25d87b7e3feedbf6c121e1087789da5448ca3,67.01,96.24000000000001,0.2575543508261442,0.25729460000991816,0.5686814342395944,1.8252558708190918,0.18878381171971556,0.507038818836475,1.8359484672546387,0.18776154887378216,0.5063612692072842,-0.0010222628459334027,68.32000000000001,29,67.54,0.7800000000000011
PILOT-CIFAR10-PreActResNet18-ASYMMETRIC_0.4-SCE-S42,asymmetric_0.4,SCE,42,cifar10,PreActResNet18,30,128,0.05,0.0,5.537319187990758,5.000000000000003,1045.357662677765,35e25d87b7e3feedbf6c121e1087789da5448ca3,62.870000000000005,96.37,0.2923397193625569,0.2921884139955044,0.6377180077918164,1.8197611570358276,0.21682222261130807,0.5646856272807167,1.8204063177108765,0.21675717331469058,0.5646344998047631,-6.504929661749204e-05,64.26,28,63.22,1.0400000000000063
